"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Women",1983,120.196161289676,118.343801504753,122.047149184244,75.0334731940683,73.7821790088611,76.2729622475309,0.179672813814253,0.145034597709396,0.217725627943663,0.206388617973338,0.1709272471679,0.24470550014622,18722078.5271728,15095698.7227323,22680117.8673866
"United States of America","Women",1984,119.680823093955,117.904045065012,121.483171976211,74.6715203306679,73.4771625749874,75.8837191614193,0.175064790135109,0.14277358601486,0.210784759337185,0.201952706503898,0.168963454994817,0.238126887264083,18559669.7767137,15054824.3504607,22398844.0330829
"United States of America","Women",1985,119.192556616004,117.517312032721,120.937433097702,74.3143550193738,73.150623574527,75.4679363369511,0.170736628104337,0.1397010906378,0.205067782719846,0.197900023068885,0.166218939412869,0.232962315996712,18414445.9509421,14971366.5358004,22152496.9418475
"United States of America","Women",1986,118.742504509679,117.126161746842,120.473796280977,73.969142931412,72.8492308355044,75.0794667033942,0.166754822207446,0.136859348720026,0.199601823913443,0.194295574398118,0.164043533547321,0.227549581414998,18295608.2095814,14913698.7302941,21963838.7046895
"United States of America","Women",1987,118.331530909141,116.731317355202,119.992418106749,73.6346399384125,72.5324561526927,74.7230702861911,0.162983990584791,0.134045984739486,0.194787836322218,0.190981911119741,0.16126008607655,0.223569367634266,18189036.0477319,14815839.2183409,21800756.8925654
"United States of America","Women",1988,117.958782750071,116.40082207312,119.575996045064,73.3126765032785,72.2335113445191,74.353325190456,0.159474845637107,0.131262300588899,0.19011215216311,0.187973158240884,0.158757052885239,0.219600983009816,18097345.2120834,14736701.9889929,21669148.0674076
"United States of America","Women",1989,117.623098239362,116.080001309138,119.184763814297,73.0041227038269,71.9317002133164,74.0218165560031,0.156154010021174,0.128107286559219,0.18609066122334,0.185147307771181,0.156088363637722,0.215644004297549,18009490.9538353,14655606.2963004,21549658.6543522
"United States of America","Women",1990,117.320021692059,115.801525268566,118.819288248208,72.70578561978,71.6568535617587,73.7030470055848,0.153007302551807,0.125377467056226,0.18203348915453,0.182459667681671,0.153968781806477,0.212073373957104,17922379.7658801,14577083.6224888,21459048.6975466
"United States of America","Women",1991,117.052348542651,115.563774051113,118.503615424747,72.422385031594,71.3968545504245,73.3957891136365,0.150075475448276,0.123156750367544,0.178227631063439,0.17994397430181,0.15148551396278,0.209337095176127,17839365.2235807,14499376.9410011,21355707.8945761
"United States of America","Women",1992,116.816403084144,115.377590047624,118.250502493178,72.1568140112259,71.15357684294,73.0992242373322,0.1473522110975,0.121152416875523,0.174776997998823,0.177603969863731,0.149864457976001,0.206562234644493,17763976.1326154,14439292.0648446,21251256.1439852
